ID,Parameter,Symbol,Conditions,Min,Typ,Max,Guarantee Level,Export to datasheet,ID,Name,ID,Test Name,Test Number
HZ06-PSPEC2-307,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,2.5,TBD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1857,Quiescent Current,HZ06-MVPATE-1885,IBAT_Quies_ALL (bst_bypassed_en),1900
HZ06-PSPEC2-308,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled), V VBAT  = 4.2V",,2.89,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1874,Quiescent Current,HZ06-MVPATE-1886,"IBAT_Quies_ALL(bst_bypassed_en, 4.2V)",1924
HZ06-PSPEC2-309,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,2.53,TBD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1873,Quiescent Current,HZ06-MVPATE-1887,"IBAT(IVsense_off, bst_bypassed_en)",1906
HZ06-PSPEC2-310,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled), V VBAT  = 4.2V",,2.81,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1872,Quiescent Current,HZ06-MVPATE-1888,"IBAT(IVsense_off, bst_bypassed_en, 4.2V)",1930
HZ06-PSPEC2-311,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,4.3,TBD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1871,Quiescent Current,HZ06-MVPATE-1889,IDVDD_Quies_ALL(bst_bypassed_en),1904
HZ06-PSPEC2-312,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,2.5,TBD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1870,Quiescent Current,HZ06-MVPATE-1890,"IDVDD(IVsense_off, bst_bypassed_en)",1910
HZ06-PSPEC2-313,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,3.11,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1869,Quiescent Current,HZ06-MVPATE-1891,"IBAT_(FET_scaling_off, bst_bypassed_en)",1912
HZ06-PSPEC2-314,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled), V VBAT  = 4.2V",,3.32,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1868,Quiescent Current,HZ06-MVPATE-1892,"IBAT(FET_scaling_off, bst_bypassed_en, 4.2V)",1936
HZ06-PSPEC2-315,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,3.02,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1867,Quiescent Current,HZ06-MVPATE-1893,"IBAT (IVsense_off, FET_scaling_off, boost_bypassed_en)",1918
HZ06-PSPEC2-316,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled), V VBAT  = 4.2V",,3.28,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1866,Quiescent Current,HZ06-MVPATE-1894,"IBAT( IVsense off, FET_scaling_off, boost_bypassed_en, 4.2V)",1942
HZ06-PSPEC2-317,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,4.31,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1865,Quiescent Current,HZ06-MVPATE-1895,"IDVDD (FET_scaling_off, bst_bypassed_en)",1916
HZ06-PSPEC2-318,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,2.5,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1864,Quiescent Current,HZ06-MVPATE-1896,"IDVDD (FET_scaling_off, bst_bypassed_en, 4.2V)",1940
HZ06-PSPEC2-319,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,7.56,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1863,Quiescent Current,HZ06-MVPATE-1897,"IBAT(FET_scaling_off, bst_bypassed_doff)",1962
HZ06-PSPEC2-320,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled), V VBAT  = 4.2V",,6.65,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1862,Quiescent Current,HZ06-MVPATE-1898,"IBAT(FET_scaling_off, bst_bypassed_off, 4.2V)",1986
HZ06-PSPEC2-321,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,7.38,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1861,Quiescent Current,HZ06-MVPATE-1899,"IBAT(IVsense_off, FET_scaling_off, bst_bypassed_off)",1968
HZ06-PSPEC2-322,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled), V VBAT  = 4.2V",,6.52,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1860,Quiescent Current,HZ06-MVPATE-1900,"IBAT(IVsense_off, FET_scaling_off, bst_bypassed_off, 4.2V)",1992
HZ06-PSPEC2-323,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,4.35,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1859,Quiescent Current,HZ06-MVPATE-1901,"IDVDD(IVsense_on, FET scaling off, bst_bypassed_off)",1966
HZ06-PSPEC2-324,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,2.5,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1858,Quiescent Current,HZ06-MVPATE-1902,"IDVDD(IVsense_off, FET scaling off, bst_bypassed_off)",1972
HZ06-PSPEC2-17,Software Shutdown Supply Current,I VBAT (SHDN_SW),"EN=0, no MCLK/BCLK/LRCLK/DIN transitions, T A  = 25°C",,0.4,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-943,BAT_Ishdn_sw,HZ06-MVPATE-943,BAT_Ishdn_sw,1715
HZ06-PSPEC2-18,Software Shutdown Supply Current,I DVDD (SHDN_SW),"EN=0, no MCLK/BCLK/LRCLK/DIN transitions, T A  = 25°C",,10,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-944,DVDD_Ishdn_sw,HZ06-MVPATE-944,DVDD_Ishdn_sw,1725
HZ06-PSPEC2-19,Hardware Shutdown Supply Current,I VBAT (SHDN_HW),"/RESET = 0, T  A   = +25°C",,0.35,1,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-947,BAT_Ishdn_hw,HZ06-MVPATE-947,BAT_Ishdn_hw,1700
HZ06-PSPEC2-20,Hardware Shutdown Supply Current,I DVDD (SHDN_HW),"/RESET = 0, T A  = +25°C",,,1,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-945,DVDD_Ishdn_hw,HZ06-MVPATE-945,DVDD_Ishdn_hw,1710
HZ06-PSPEC2-22,System Efficiency,η,"P OUT  = 1.2W, f = 1kHz, Z SPK  = 8Ω+33µH",,82,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-280,System Efficiency,η,"P OUT  = 1.2W, f = 1kHz, Z SPK  = 8Ω+33µH, V VBAT  = 4.3V, V PVDD  = 10V",,83,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-343,System Efficiency,η,"P OUT  = 1.2W, f = 1kHz, Z SPK  = 4Ω+33µH",,TBD,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-269,System Efficiency,η,"P OUT  = TBD W, f = 1kHz, Z SPK  = 8Ω+33µH, boost bypassed, 1/4 size output FETs",,TBD,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-24,Turn On Time,t ON,"Time from EN active to class-D amplifier on, SPK_SPEEDUP = 0, AMP_VOL_RMPUP_BYPASS = 0",,3.7,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-1004,SPK_Turn_On_Time,HZ06-MVPATE-1004,SPK_Turn_On_Time,7025
HZ06-PSPEC2-355,Turn On Time,t ON,"Time from EN active to class-D amplifier on, SPK_SPEEDUP = 1, AMP_VOL_RMPUP_BYPASS = 1",,1.35,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-356,Turn On Time,t ON,"Time from SPK_EN active to class-D amplifier on, SPK_SPEEDUP = 1, AMP_VOL_RMPUP_BYPASS = 1",,200,,VI - Internal Design Target,Yes,,,,,
HZ06-PSPEC2-266,Turn On Time,t ON,"Time from I2C programming to boost on, SPK_SPEEDUP = 0, BST_SLOWSTART = 0",,1.2,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-267,Turn On Time,t ON,"Time from I2C programming to boost on, SPK_SPEEDUP = 0, BST_SLOWSTART = 1",,12.2,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-268,Turn On Time,t ON,"Time from boost on to audio out, SPK_SPEEDUP = 0",,3.15,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-25,Soft Start Time,t STR,  ,,1.4,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-806,BST soft start Timer,HZ06-MVPATE-806,BST soft start Timer,2615
,,,,,,,,,HZ06-MVPHUB-1930,BST_SSCLK_Freq,HZ06-MVPATE-1963,BST_SSCLK_Freq,4015
HZ06-PSPEC2-26,LX leakage current,I LX_LEAK,"T A  = 25°C, LX from 0V to 4.5V",-1,0,1,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-639,IH_LX,HZ06-MVPATE-639,IH_LX,505
,,,,,,,,,HZ06-MVPHUB-622,IL_LX,HZ06-MVPATE-622,IL_LX,420
HZ06-PSPEC2-27,Startup Input Current Limit,I STARTUP,,,0.5,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-28,Minimum Peak Input Current Limit,I LX_MIN,At minimum programmed setting,,1,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-837,BST_Ix0_GNG,HZ06-MVPATE-837,BST_Ix0_GNG,3300
,,,,,,,,,HZ06-MVPHUB-838,BST_Ix1_GNG,HZ06-MVPATE-838,BST_Ix1_GNG,3310
,,,,,,,,,HZ06-MVPHUB-839,BST_Ix2_GNG,HZ06-MVPATE-839,BST_Ix2_GNG,3320
,,,,,,,,,HZ06-MVPHUB-852,BST_Ix3F_GNG,HZ06-MVPATE-852,BST_Ix3F_GNG,3930
,,,,,,,,,HZ06-MVPHUB-840,BST_Ix3_GNG,HZ06-MVPATE-840,BST_Ix3_GNG,3330
,,,,,,,,,HZ06-MVPHUB-841,BST_Ix4_GNG,HZ06-MVPATE-841,BST_Ix4_GNG,3340
,,,,,,,,,HZ06-MVPHUB-842,BST_Ix5_GNG,HZ06-MVPATE-842,BST_Ix5_GNG,3350
,,,,,,,,,HZ06-MVPHUB-843,BST_Ix6_GNG,HZ06-MVPATE-843,BST_Ix6_GNG,3360
,,,,,,,,,HZ06-MVPHUB-844,BST_Ix7_GNG,HZ06-MVPATE-844,BST_Ix7_GNG,3370
,,,,,,,,,HZ06-MVPHUB-845,BST_Ix8_GNG,HZ06-MVPATE-845,BST_Ix8_GNG,3380
,,,,,,,,,HZ06-MVPHUB-846,BST_Ix9_GNG,HZ06-MVPATE-846,BST_Ix9_GNG,3390
,,,,,,,,,HZ06-MVPHUB-847,BST_IxA_GNG,HZ06-MVPATE-847,BST_IxA_GNG,3400
,,,,,,,,,HZ06-MVPHUB-848,BST_IxB_GNG,HZ06-MVPATE-848,BST_IxB_GNG,3410
,,,,,,,,,HZ06-MVPHUB-849,BST_IxC_GNG,HZ06-MVPATE-849,BST_IxC_GNG,3420
,,,,,,,,,HZ06-MVPHUB-850,BST_IxD_GNG,HZ06-MVPATE-850,BST_IxD_GNG,3430
,,,,,,,,,HZ06-MVPHUB-851,BST_IxE_GNG,HZ06-MVPATE-851,BST_IxE_GNG,3440
HZ06-PSPEC2-29,Maximum Peak Input Current Limit,I LX_MAX,"Maximum usable programmed limit, 2.65V ≤ V VBAT   ≤ 2.85V",,2.8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-30,Maximum Peak Input Current Limit,I LX_MAX,"Maximum usable programmed limit, 2.85V < V VBAT  ≤ 5.5V",,4.1,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-837,BST_Ix0_GNG,HZ06-MVPATE-837,BST_Ix0_GNG,3300
,,,,,,,,,HZ06-MVPHUB-838,BST_Ix1_GNG,HZ06-MVPATE-838,BST_Ix1_GNG,3310
,,,,,,,,,HZ06-MVPHUB-839,BST_Ix2_GNG,HZ06-MVPATE-839,BST_Ix2_GNG,3320
,,,,,,,,,HZ06-MVPHUB-852,BST_Ix3F_GNG,HZ06-MVPATE-852,BST_Ix3F_GNG,3930
,,,,,,,,,HZ06-MVPHUB-840,BST_Ix3_GNG,HZ06-MVPATE-840,BST_Ix3_GNG,3330
,,,,,,,,,HZ06-MVPHUB-841,BST_Ix4_GNG,HZ06-MVPATE-841,BST_Ix4_GNG,3340
,,,,,,,,,HZ06-MVPHUB-842,BST_Ix5_GNG,HZ06-MVPATE-842,BST_Ix5_GNG,3350
,,,,,,,,,HZ06-MVPHUB-843,BST_Ix6_GNG,HZ06-MVPATE-843,BST_Ix6_GNG,3360
,,,,,,,,,HZ06-MVPHUB-844,BST_Ix7_GNG,HZ06-MVPATE-844,BST_Ix7_GNG,3370
,,,,,,,,,HZ06-MVPHUB-845,BST_Ix8_GNG,HZ06-MVPATE-845,BST_Ix8_GNG,3380
,,,,,,,,,HZ06-MVPHUB-846,BST_Ix9_GNG,HZ06-MVPATE-846,BST_Ix9_GNG,3390
,,,,,,,,,HZ06-MVPHUB-847,BST_IxA_GNG,HZ06-MVPATE-847,BST_IxA_GNG,3400
,,,,,,,,,HZ06-MVPHUB-848,BST_IxB_GNG,HZ06-MVPATE-848,BST_IxB_GNG,3410
,,,,,,,,,HZ06-MVPHUB-849,BST_IxC_GNG,HZ06-MVPATE-849,BST_IxC_GNG,3420
,,,,,,,,,HZ06-MVPHUB-850,BST_IxD_GNG,HZ06-MVPATE-850,BST_IxD_GNG,3430
,,,,,,,,,HZ06-MVPHUB-851,BST_IxE_GNG,HZ06-MVPATE-851,BST_IxE_GNG,3440
HZ06-PSPEC2-31,Input Current Limit Step,,(TODO: Internal spec for Apollo version),,50,,"V - Not Production Tested, Characterized by Bench (GBDC)",No,,,,,
HZ06-PSPEC2-306,Input Current Limit Step,,,,100,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-332,Input Current Limit Accuracy,,"T A  = 25°C, tested at V VBAT  = 2.65V, 3.7V, and 5.5V, each V VBAT  level tested at BST_ILIM = minimum and maximum, 1.00A ≤ BST_ILIM ≤ 2.00A",-9,,11,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-333,Input Current Limit Accuracy,,"T A  = 25°C, tested at V VBAT  = 2.65V, 3.7V, and 5.5V, each V VBAT  level tested at BST_ILIM = minimum and maximum, 2.05A ≤ BST_ILIM ≤ 4.10A",-8,,9,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-33,Switching Frequency,f SW,"Speaker driving signal or skip mode disabled, Fast mode",,3.7,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-804,BST StepUp freq ,HZ06-MVPATE-804,BST StepUp freq ,4000
HZ06-PSPEC2-251,Switching Frequency,f SW,"Speaker driving signal or skip mode disabled, Slow mode",,2.3,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-1817,Slow_Mode_sw_freq,HZ06-MVPATE-1847,Switching Frequency,7030 7035
HZ06-PSPEC2-34,Skip Mode Frequency,f SW-SKIP,"Quiescent speaker and skip mode enabled, Mode 1",,51,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-35,Skip Mode Frequency,f SW-SKIP,"Quiescent speaker and skip mode enabled, Mode 2",,52,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-36,Skip Mode Frequency,f SW-SKIP,"Quiescent speaker and skip mode enabled, Mode 3",,338,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-37,Efficiency,η BOOST,I OUT =0.4A ,,92,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-270,Boost Clock Phase,Φ BOOST,"Relative to LRCLK, BST_PHASE=000",,3,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-667,ATPG scan - DBF,HZ06-MVPATE-667,ATPG scan - DBF,735
,,,,,,,,,HZ06-MVPHUB-664,ATPG scan - SAF,HZ06-MVPATE-664,ATPG scan - SAF,720
,,,,,,,,,HZ06-MVPHUB-665,ATPG scan - SBF,HZ06-MVPATE-665,ATPG scan - SBF,725
,,,,,,,,,HZ06-MVPHUB-666,ATPG scan - TDF,HZ06-MVPATE-666,ATPG scan - TDF,730
HZ06-PSPEC2-271,Boost Clock Phase,Φ BOOST,"Relative to LRCLK, BST_PHASE=001",,71,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-667,ATPG scan - DBF,HZ06-MVPATE-667,ATPG scan - DBF,735
,,,,,,,,,HZ06-MVPHUB-664,ATPG scan - SAF,HZ06-MVPATE-664,ATPG scan - SAF,720
,,,,,,,,,HZ06-MVPHUB-665,ATPG scan - SBF,HZ06-MVPATE-665,ATPG scan - SBF,725
,,,,,,,,,HZ06-MVPHUB-666,ATPG scan - TDF,HZ06-MVPATE-666,ATPG scan - TDF,730
HZ06-PSPEC2-272,Boost Clock Phase,Φ BOOST,"Relative to LRCLK, BST_PHASE=010",,140,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-667,ATPG scan - DBF,HZ06-MVPATE-667,ATPG scan - DBF,735
,,,,,,,,,HZ06-MVPHUB-664,ATPG scan - SAF,HZ06-MVPATE-664,ATPG scan - SAF,720
,,,,,,,,,HZ06-MVPHUB-665,ATPG scan - SBF,HZ06-MVPATE-665,ATPG scan - SBF,725
,,,,,,,,,HZ06-MVPHUB-666,ATPG scan - TDF,HZ06-MVPATE-666,ATPG scan - TDF,730
HZ06-PSPEC2-273,Boost Clock Phase,Φ BOOST,"Relative to LRCLK, BST_PHASE=011",,208,,"IIsc - Production Tested via Scan @ Room Temp, Characterized via Scan @ Multiple Temps",Yes,HZ06-MVPHUB-667,ATPG scan - DBF,HZ06-MVPATE-667,ATPG scan - DBF,735
,,,,,,,,,HZ06-MVPHUB-664,ATPG scan - SAF,HZ06-MVPATE-664,ATPG scan - SAF,720
,,,,,,,,,HZ06-MVPHUB-665,ATPG scan - SBF,HZ06-MVPATE-665,ATPG scan - SBF,725
,,,,,,,,,HZ06-MVPHUB-666,ATPG scan - TDF,HZ06-MVPATE-666,ATPG scan - TDF,730
HZ06-PSPEC2-40,Output Voltage,V PVDD,"Max setting, across specified V VBAT  operating range, boost on (not bypassed)",,10,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-879,*BST_0x1A_Vout_Max,HZ06-MVPATE-879,*BST_0x1A_Vout,3266
,,,,,,,,,HZ06-MVPHUB-810,BST_Vx00_GNG,HZ06-MVPATE-810,BST_Vx00_GNG,3000
,,,,,,,,,HZ06-MVPHUB-811,BST_Vx01_GNG,HZ06-MVPATE-811,BST_Vx01_GNG,3010
,,,,,,,,,HZ06-MVPHUB-812,BST_Vx02_GNG,HZ06-MVPATE-812,BST_Vx02_GNG,3020
,,,,,,,,,HZ06-MVPHUB-813,BST_Vx03_GNG,HZ06-MVPATE-813,BST_Vx03_GNG,3030
,,,,,,,,,HZ06-MVPHUB-814,BST_Vx04_GNG,HZ06-MVPATE-814,BST_Vx04_GNG,3040
,,,,,,,,,HZ06-MVPHUB-815,BST_Vx05_GNG,HZ06-MVPATE-815,BST_Vx05_GNG,3050
,,,,,,,,,HZ06-MVPHUB-816,BST_Vx06_GNG,HZ06-MVPATE-816,BST_Vx06_GNG,3060
,,,,,,,,,HZ06-MVPHUB-817,BST_Vx07_GNG,HZ06-MVPATE-817,BST_Vx07_GNG,3070
,,,,,,,,,HZ06-MVPHUB-818,BST_Vx08_GNG,HZ06-MVPATE-818,BST_Vx08_GNG,3080
,,,,,,,,,HZ06-MVPHUB-819,BST_Vx09_GNG,HZ06-MVPATE-819,BST_Vx09_GNG,3090
,,,,,,,,,HZ06-MVPHUB-820,BST_Vx0A_GNG,HZ06-MVPATE-820,BST_Vx0A_GNG,3100
,,,,,,,,,HZ06-MVPHUB-821,BST_Vx0B_GNG,HZ06-MVPATE-821,BST_Vx0B_GNG,3110
,,,,,,,,,HZ06-MVPHUB-822,BST_Vx0C_GNG,HZ06-MVPATE-822,BST_Vx0C_GNG,3120
,,,,,,,,,HZ06-MVPHUB-823,BST_Vx0D_GNG,HZ06-MVPATE-823,BST_Vx0D_GNG,3130
,,,,,,,,,HZ06-MVPHUB-824,BST_Vx0E_GNG,HZ06-MVPATE-824,BST_Vx0E_GNG,3140
,,,,,,,,,HZ06-MVPHUB-825,BST_Vx0F_GNG,HZ06-MVPATE-825,BST_Vx0F_GNG,3150
,,,,,,,,,HZ06-MVPHUB-826,BST_Vx10_GNG,HZ06-MVPATE-826,BST_Vx10_GNG,3160
,,,,,,,,,HZ06-MVPHUB-827,BST_Vx11_GNG,HZ06-MVPATE-827,BST_Vx11_GNG,3170
,,,,,,,,,HZ06-MVPHUB-828,BST_Vx12_GNG,HZ06-MVPATE-828,BST_Vx12_GNG,3180
