ID,Parameter,Symbol,Conditions,Min,Typ,Max,Guarantee Level,Export to datasheet,ID,Name,ID,Test Name,Test Number,Test #,Test Name,Test Type,Temp,Unit,Mean,Median,Standard Deviation,Min,Max,Unnamed: 10,Default Scales?,Process Dependent,Scale (Down),Offset (Down),Scale (Up),Offset (Up),N Sigma (Down),N Sigma (Up),GBD No Scale Min,GBD No Scale Max,GBD Min,GBD Max,EC/QA Low Limit (from tester),EC/QA High Limit (from tester),EC/QA Low Limit (Override),EC/QA High Limit (Override),EC / QA Min (Input),EC / QA Max (Input),GB Type,Tester Accuracy,HW Component Accuracy,T2T Gage or Combined Gage Sigma,B2B Gage Sigma,Correlation Target,Correlation Delta Min,Correlation Delta Max,Insertion Repeatability,Supply Mean Shift,Correlation Components Required?,Calculation Blank?,GB Test Type?,Limits Method,Temperature Components Required?,Means of Temperatures tested,Temperature Mean Shift (Min),Temperature Mean Shift (Max),NegDrift,PosDrift,Temperature Sigma Drift,Temperature Sigma Drift.1,Temperature Sigma Shift (Min),Temperature Sigma Shift (Max),Calculated Gage Components,Valid NegDrift,Valid PosDrift,EC Shift (Min),EC Shift (Max),Uncertainty GB (Min),Uncertainty GB (Max),Default Guardband (Min),Default Guardband (Max),Calculated Guardband (Min),Calculated Guardband (Max),Override Guardband (Min),Override Guardband (Max),Applied Guardband (Min),Applied Guardband (Max),Calc EC?,EC / QA Min (Output),EC / QA Max (Output),FT Min,FT Max,(For Calc Only) SPF (Min),(For Calc Only) SPF (Max),(For Calc Only) FT SPF (Min),(For Calc Only) FT SPF (Min).1,"QA
GBD
HZ06-PSPEC2-347,Power Supply Ramp Rate DVDD,,,0.1,,10000,VI - Internal Design Target,No,,,,,
HZ06-PSPEC2-307,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,2.5,TBD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1857,Quiescent Current,HZ06-MVPATE-1885,IBAT_Quies_ALL (bst_bypassed_en),1900,IBAT_111_Quies_ALL _bst_byp_en VBAT 4.a26 <> IBAT_111_Quies_ALL _bst_byp_en,uA,464.4973,6.50226,8.433,IBAT_111_Quies_ALL _bst_byp_en VBAT 4.a26 <> IBAT_111_Quies_ALL _bst_byp_en,uA,511.1058,6.447207,10.915,IBAT_111_Quies_ALL _bst_byp_en VBAT 4.a26 <> IBAT_111_Quies_ALL _bst_byp_en,uA,415.789,6.801858,5.674
HZ06-PSPEC2-308,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled), V VBAT  = 4.2V",,2.89,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1874,Quiescent Current,HZ06-MVPATE-1886,"IBAT_Quies_ALL(bst_bypassed_en, 4.2V)",1924,IBAT_111_4p3V _Quies_ALL _bst_byp_en VBAT 4.a26 <> IBAT_111_4p3V _Quies_ALL _bst_byp_en,uA,474.2796,6.6474649999999995,8.739,IBAT_111_4p3V _Quies_ALL _bst_byp_en VBAT 4.a26 <> IBAT_111_4p3V _Quies_ALL _bst_byp_en,uA,521.0162,6.5151330000000005,11.308,IBAT_111_4p3V _Quies_ALL _bst_byp_en VBAT 4.a26 <> IBAT_111_4p3V _Quies_ALL _bst_byp_en,uA,420.31,8.35847,4.798
HZ06-PSPEC2-309,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,2.53,TBD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1873,Quiescent Current,HZ06-MVPATE-1887,"IBAT(IVsense_off, bst_bypassed_en)",1906,IBAT_011_IV_off_bst_byp_en vbat 4.a26 <> IBAT_011_IV_off_bst_byp_en,uA,464.0235,6.467842,8.453,IBAT_011_IV_off_bst_byp_en vbat 4.a26 <> IBAT_011_IV_off_bst_byp_en,uA,510.8715,6.452413,10.894,IBAT_011_IV_off_bst_byp_en vbat 4.a26 <> IBAT_011_IV_off_bst_byp_en,uA,415.2175,6.7256029999999996,5.71
HZ06-PSPEC2-310,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled), V VBAT  = 4.2V",,2.81,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1872,Quiescent Current,HZ06-MVPATE-1888,"IBAT(IVsense_off, bst_bypassed_en, 4.2V)",1930,IBAT_011_4p3V_IV_off_bst_byp_en vbat 4.a26 <> IBAT_011_4p3V_IV_off_bst_byp_en,uA,473.9662,6.596609,8.791,IBAT_011_4p3V_IV_off_bst_byp_en vbat 4.a26 <> IBAT_011_4p3V_IV_off_bst_byp_en,uA,520.8004,6.524108,11.281,IBAT_011_4p3V_IV_off_bst_byp_en vbat 4.a26 <> IBAT_011_4p3V_IV_off_bst_byp_en,uA,419.8427,8.334078,4.793
HZ06-PSPEC2-311,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,4.3,TBD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1871,Quiescent Current,HZ06-MVPATE-1889,IDVDD_Quies_ALL(bst_bypassed_en),1904,IDVDD_111_Quies_ALL_bst_byp_en DVDD 12.b2 <> IDVDD_111_Quies_ALL_bst_byp_en,mA,4.199633,0.0406,5.749,IDVDD_111_Quies_ALL_bst_byp_en DVDD 12.b2 <> IDVDD_111_Quies_ALL_bst_byp_en,mA,4.612011,0.0436,2.967,IDVDD_111_Quies_ALL_bst_byp_en DVDD 12.b2 <> IDVDD_111_Quies_ALL_bst_byp_en,mA,3.782222,0.0422,2.23
HZ06-PSPEC2-312,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 00b (FET scaling enabled), BST_BYP_MODE = 00b (boost bypass enabled)",,2.5,TBD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1870,Quiescent Current,HZ06-MVPATE-1890,"IDVDD(IVsense_off, bst_bypassed_en)",1910,IDVDD_011_IV_off_bst_byp_en dvdd 12.b2 <> IDVDD_011_IV_off_bst_byp_en,mA,2.1294299999999997,0.016,13.149,IDVDD_011_IV_off_bst_byp_en dvdd 12.b2 <> IDVDD_011_IV_off_bst_byp_en,mA,2.19854,0.0165,14.116,IDVDD_011_IV_off_bst_byp_en dvdd 12.b2 <> IDVDD_011_IV_off_bst_byp_en,mA,2.063555,0.0165,11.373
HZ06-PSPEC2-313,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,3.11,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1869,Quiescent Current,HZ06-MVPATE-1891,"IBAT_(FET_scaling_off, bst_bypassed_en)",1912,IBAT_101_FET_off_bst_byp_en vbat 4.a26 <> IBAT_101_FET_off_bst_byp_en,uA,464.0105,6.486214,8.429,IBAT_101_FET_off_bst_byp_en vbat 4.a26 <> IBAT_101_FET_off_bst_byp_en,uA,510.8352,6.436703,10.918,IBAT_101_FET_off_bst_byp_en vbat 4.a26 <> IBAT_101_FET_off_bst_byp_en,uA,415.1978,6.707269,5.725
HZ06-PSPEC2-314,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled), V VBAT  = 4.2V",,3.32,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1868,Quiescent Current,HZ06-MVPATE-1892,"IBAT(FET_scaling_off, bst_bypassed_en, 4.2V)",1936,IBAT_001_4p3V_FET_off_bst_byp_en vbat 4.a26 <> IBAT_001_4p3V_FET_off_bst_byp_en,uA,473.9308,6.570041000000001,8.824,IBAT_001_4p3V_FET_off_bst_byp_en vbat 4.a26 <> IBAT_001_4p3V_FET_off_bst_byp_en,uA,520.7197,6.5455309999999995,11.24,IBAT_001_4p3V_FET_off_bst_byp_en vbat 4.a26 <> IBAT_001_4p3V_FET_off_bst_byp_en,uA,419.8504,8.307338,4.809
HZ06-PSPEC2-315,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,3.02,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1867,Quiescent Current,HZ06-MVPATE-1893,"IBAT (IVsense_off, FET_scaling_off, boost_bypassed_en)",1918,IBAT_001_IV_off_FET_off_bst_byp_en vbat 4.a26 <> IBAT_001_IV_off_FET_off_bst_byp_en,uA,464.1589,6.50879,8.407,IBAT_001_IV_off_FET_off_bst_byp_en vbat 4.a26 <> IBAT_001_IV_off_FET_off_bst_byp_en,uA,510.8737,6.420698000000001,10.948,IBAT_001_IV_off_FET_off_bst_byp_en vbat 4.a26 <> IBAT_001_IV_off_FET_off_bst_byp_en,uA,415.4235,6.783511,5.672
HZ06-PSPEC2-316,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled), V VBAT  = 4.2V",,3.28,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1866,Quiescent Current,HZ06-MVPATE-1894,"IBAT( IVsense off, FET_scaling_off, boost_bypassed_en, 4.2V)",1942,IBAT_101_4p3V_IV_off_FET_off_bst_byp_en vbat 4.a26 <> IBAT_101_4p3V_IV_off_FET_off_bst_byp_en,uA,474.2599,6.6021279999999996,8.798,IBAT_101_4p3V_IV_off_FET_off_bst_byp_en vbat 4.a26 <> IBAT_101_4p3V_IV_off_FET_off_bst_byp_en,uA,521.0366,6.569087,11.216,IBAT_101_4p3V_IV_off_FET_off_bst_byp_en vbat 4.a26 <> IBAT_101_4p3V_IV_off_FET_off_bst_byp_en,uA,420.1921,8.370682,4.786
HZ06-PSPEC2-317,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,4.31,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1865,Quiescent Current,HZ06-MVPATE-1895,"IDVDD (FET_scaling_off, bst_bypassed_en)",1916,IDVDD_101_FET_off_bst_byp_en dvdd 12.b2 <> IDVDD_101_FET_off_bst_byp_en,uA,2130.0,17.54843,34.819,IDVDD_101_FET_off_bst_byp_en dvdd 12.b2 <> IDVDD_101_FET_off_bst_byp_en,uA,2200.0,17.16678,36.874,IDVDD_101_FET_off_bst_byp_en dvdd 12.b2 <> IDVDD_101_FET_off_bst_byp_en,uA,2070.0,15.672670000000002,37.563
HZ06-PSPEC2-318,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 00b (boost bypass enabled)",,2.5,TBD,"IV - Not Production Tested, Characterized by ATE",No,HZ06-MVPHUB-1864,Quiescent Current,HZ06-MVPATE-1896,"IDVDD (FET_scaling_off, bst_bypassed_en, 4.2V)",1940,IDVDD_001_4p3V_FET_off_bst_byp_en dvdd 12.b2 <> IDVDD_001_4p3V_FET_off_bst_byp_en,mA,2.129309,0.0161,23.36,IDVDD_001_4p3V_FET_off_bst_byp_en dvdd 12.b2 <> IDVDD_001_4p3V_FET_off_bst_byp_en,mA,2.198876,0.0179,22.327,IDVDD_001_4p3V_FET_off_bst_byp_en dvdd 12.b2 <> IDVDD_001_4p3V_FET_off_bst_byp_en,mA,2.064194,0.0181,19.643
HZ06-PSPEC2-319,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,7.56,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1863,Quiescent Current,HZ06-MVPATE-1897,"IBAT(FET_scaling_off, bst_bypassed_doff)",1962,IBAT_100_IV_on_FET_off_bst_byp_off vbat 4.a26 <> IBAT_100_IV_on_FET_off_bst_byp_off,uA,509.978,6.204956,11.28,IBAT_100_IV_on_FET_off_bst_byp_off vbat 4.a26 <> IBAT_100_IV_on_FET_off_bst_byp_off,uA,556.1358,6.164084,13.851,IBAT_100_IV_on_FET_off_bst_byp_off vbat 4.a26 <> IBAT_100_IV_on_FET_off_bst_byp_off,uA,484.7455,6.3846,9.645
HZ06-PSPEC2-320,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled), V VBAT  = 4.2V",,6.65,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1862,Quiescent Current,HZ06-MVPATE-1898,"IBAT(FET_scaling_off, bst_bypassed_off, 4.2V)",1986,IBAT_100_4p3V_IV_on_FET_off_bst_byp_off vbat 4.a26 <> IBAT_100_4p3V_IV_on_FET_off_bst_byp_off,uA,510.1095,6.164573000000001,11.361,IBAT_100_4p3V_IV_on_FET_off_bst_byp_off vbat 4.a26 <> IBAT_100_4p3V_IV_on_FET_off_bst_byp_off,uA,556.3387,6.170463,13.848,IBAT_100_4p3V_IV_on_FET_off_bst_byp_off vbat 4.a26 <> IBAT_100_4p3V_IV_on_FET_off_bst_byp_off,uA,461.4301,6.467379,8.32
HZ06-PSPEC2-321,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,7.38,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1861,Quiescent Current,HZ06-MVPATE-1899,"IBAT(IVsense_off, FET_scaling_off, bst_bypassed_off)",1968,IBAT_000_IV_off_FET_off_bst_byp_off vbat 4.a26 <> IBAT_000_IV_off_FET_off_bst_byp_off,uA,509.8647,6.167046,11.343,IBAT_000_IV_off_FET_off_bst_byp_off vbat 4.a26 <> IBAT_000_IV_off_FET_off_bst_byp_off,uA,556.1648,6.1653459999999995,13.85,IBAT_000_IV_off_FET_off_bst_byp_off vbat 4.a26 <> IBAT_000_IV_off_FET_off_bst_byp_off,uA,484.4194,6.3475209999999995,9.685
HZ06-PSPEC2-322,Quiescent Current,I VBAT,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled), V VBAT  = 4.2V",,6.52,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1860,Quiescent Current,HZ06-MVPATE-1900,"IBAT(IVsense_off, FET_scaling_off, bst_bypassed_off, 4.2V)",1992,IBAT_000_4p3V_IV_off_FET_off_bst_byp_off vbat 4.a26 <> IBAT_000_4p3V_IV_off_FET_off_bst_byp_off,uA,509.906,6.166161,11.347,IBAT_000_4p3V_IV_off_FET_off_bst_byp_off vbat 4.a26 <> IBAT_000_4p3V_IV_off_FET_off_bst_byp_off,uA,556.1728,6.183148,13.81,IBAT_000_4p3V_IV_off_FET_off_bst_byp_off vbat 4.a26 <> IBAT_000_4p3V_IV_off_FET_off_bst_byp_off,uA,460.9997,6.472442,8.292
HZ06-PSPEC2-323,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense on, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,4.35,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1859,Quiescent Current,HZ06-MVPATE-1901,"IDVDD(IVsense_on, FET scaling off, bst_bypassed_off)",1966,IDVDD_100_IV_on_FET  off_bst_byp_off dvdd 12.b2 <> IDVDD_100_IV_on_FET  off_bst_byp_off,mA,4.179733000000001,0.0364,16.674,IDVDD_100_IV_on_FET  off_bst_byp_off dvdd 12.b2 <> IDVDD_100_IV_on_FET  off_bst_byp_off,mA,4.591188,0.04,11.743,IDVDD_100_IV_on_FET  off_bst_byp_off dvdd 12.b2 <> IDVDD_100_IV_on_FET  off_bst_byp_off,mA,3.765204,0.0367,16.049
HZ06-PSPEC2-324,Quiescent Current,I DVDD,"All circuit blocks active, I 2 S slave mode, clocking in zeros, valid clocks, T A  = 25°C, IV sense off, AMP_FET_SCALE_MODE = 01b (FET scaling disabled), BST_BYP_MODE = 10b (boost bypass disabled)",,2.5,TBD,"IV - Not Production Tested, Characterized by ATE",Yes,HZ06-MVPHUB-1858,Quiescent Current,HZ06-MVPATE-1902,"IDVDD(IVsense_off, FET scaling off, bst_bypassed_off)",1972,IDVDD_000_IV_off_FET  off_bst_byp_off dvdd 12.b2 <> IDVDD_000_IV_off_FET  off_bst_byp_off,mA,2.1101349999999996,0.00855,12.091,IDVDD_000_IV_off_FET  off_bst_byp_off dvdd 12.b2 <> IDVDD_000_IV_off_FET  off_bst_byp_off,mA,2.1787919999999996,0.009179999999999999,13.759,IDVDD_000_IV_off_FET  off_bst_byp_off dvdd 12.b2 <> IDVDD_000_IV_off_FET  off_bst_byp_off,mA,2.045009,0.0089,9.174
HZ06-PSPEC2-17,Software Shutdown Supply Current,I VBAT (SHDN_SW),"EN=0, no MCLK/BCLK/LRCLK/DIN transitions, T A  = 25°C",,0.4,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-943,BAT_Ishdn_sw,HZ06-MVPATE-943,BAT_Ishdn_sw,1715,SWSHDN_IVBAT vbat 4.a26 <> SWSHDN_IVBAT,uA,0.0789,0.00243,42.932,SWSHDN_IVBAT vbat 4.a26 <> SWSHDN_IVBAT,uA,0.0841,0.00246,3.953,SWSHDN_IVBAT vbat 4.a26 <> SWSHDN_IVBAT,uA,0.0723,0.00238,2.423
HZ06-PSPEC2-18,Software Shutdown Supply Current,I DVDD (SHDN_SW),"EN=0, no MCLK/BCLK/LRCLK/DIN transitions, T A  = 25°C",,10,,"VII - Production Tested, Internal Only",Yes,HZ06-MVPHUB-944,DVDD_Ishdn_sw,HZ06-MVPATE-944,DVDD_Ishdn_sw,1725,SWSHDN_IDVDD DVDD 12.b2 <> SWSHDN_IDVDD,uA,8.420860000000001,0.14400000000000002,5.963,SWSHDN_IDVDD DVDD 12.b2 <> SWSHDN_IDVDD,uA,11.34884,0.21100000000000002,15.485,SWSHDN_IDVDD DVDD 12.b2 <> SWSHDN_IDVDD,uA,7.533767999999999,0.138,14.436
HZ06-PSPEC2-19,Hardware Shutdown Supply Current,I VBAT (SHDN_HW),"/RESET = 0, T  A   = +25°C",,0.35,1,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-947,BAT_Ishdn_hw,HZ06-MVPATE-947,BAT_Ishdn_hw,1700,HWSHDN_IVBAT vbat 4.a26 <> HWSHDN_IVBAT,uA,0.082,0.00145,14.195,HWSHDN_IVBAT vbat 4.a26 <> HWSHDN_IVBAT,uA,0.0875,0.0015,14.902,HWSHDN_IVBAT vbat 4.a26 <> HWSHDN_IVBAT,uA,0.0757,0.0013800000000000002,13.368
